PLAYER_NAME,TEAM,POSITION,PLAYER_STATUS,GP*,BYE,FANTASY_POINTS,PRESEASON_RANKING,ACTUAL_RANKING,%_ROSTERED,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,RECEIVING_YDS,RECEIVING_TD,TARGETS,RET_TD,2PT_CONVERSIONS,FUMBLES_LOST
AJ Dillon,GB,RB,A,18,6,180.90,90,90,90%,0,0,0,214,915,7.3,31.8,230,1.1,41.3,0,1.0,1.1
D'Andre Swift,Phi,RB,A,18,10,180.27,70,70,93%,0,0,0,146,672,4.4,57.8,459,2.3,73.6,0,0,1.1
James Conner,Ari,RB,A,18,14,178.73,54,54,94%,0,0,0,217,862,6.2,39.2,300,0.9,52,0,1.0,1.0
DeAndre Hopkins,Ten,WR,A,18,7,177.94,42,42,97%,0,0,0,0,0,0,84.9,1001,6.2,128,0,0,1.0
Christian Watson,GB,WR,A,18,6,177.72,63,63,92%,0,0,0,7.3,47.2,0,69.2,1027,6.3,117,0,0,1.1
Rachaad White,TB,RB,A,18,5,177.29,65,65,92%,0,0,0,212,871,6.1,37.5,284,1.0,50.2,0,1.0,1.0
Gabe Davis,Buf,WR,A,18,13,177.26,100,100,88%,0,0,0,2.4,15.7,0,62.8,962,8.4,106,0,0,1.2
Mike Evans,TB,WR,A,18,5,176.97,76,76,92%,0,0,0,1.0,6.2,0,74.3,1038,6.2,129,0,0,1.0
Rashaad Penny,Phi,RB,A,18,10,174.34,69,69,90%,0,0,0,188,943,7.7,20.8,164,1.2,26.9,0,1.1,1.1
Dalvin Cook,Min,RB,NA,18,13,173.01,64,64,95%,0,0,0,205,878,6.5,33.5,251,1.1,43.2,0,1.1,2.2
David Montgomery,Det,RB,Q,18,9,172.35,56,56,94%,0,0,0,202,853,7.6,30.5,218,1.1,37.3,0,0,1.2
George Pickens,Pit,WR,A,18,6,171.34,95,95,90%,0,0,0,2.1,13.8,0,70.2,969,6.3,115,0,1.1,1.1
Brian Robinson,Was,RB,A,18,14,166.29,67,67,91%,0,0,0,226,931,6.1,26.4,189,1.1,34.1,0,0,1.2
Brandin Cooks,Dal,WR,A,18,7,165.72,101,101,86%,0,0,0,2.2,13.2,0,72.4,971,5.5,117,0,0,1.1
Marquise Brown,Ari,WR,A,18,14,165.40,77,77,89%,0,0,0,2.9,20.4,0,76.5,921,5.8,127,0,0,1.0
Khalil Herbert,Chi,RB,A,18,13,164.43,89,89,88%,0,0,0,212,921,5.0,29.0,222,1.4,43.1,0,0,1.3
De'Von Achane,Mia,RB,A,17,10,162.74,157,157,62%,0,0,0,169,777,5.2,37.5,302,1.2,47.5,0,0,1.3
Diontae Johnson,Pit,WR,A,18,6,162.49,73,73,90%,0,0,0,11.9,65.8,0,87.3,885,4.3,133,0,0,1.1
Michael Thomas,NO,WR,Q,18,11,162.41,124,124,83%,0,0,0,0,0,0,81.6,904,5.6,115,0,0,1.1
Treylon Burks,Ten,WR,A,18,7,160.04,82,82,86%,0,0,0,0,0,0,71.7,943,5.3,118,0,0,1.1
George Kittle,SF,TE,A,18,9,159.25,47,47,100%,0,0,0,0,0,0,68.1,843,6.8,93.1,0,0,0
Jordan Addison,Min,WR,Q,17,13,156.68,98,98,82%,0,0,0,4.9,52.8,0,71.6,879,4.9,111,0,0,1.0
Kadarius Toney,KC,WR,A,18,10,156.15,104,104,85%,0,0,0,16.7,89.7,1.0,60.9,704,5.8,82.5,1.3,0,1.0
Jahan Dotson,Was,WR,A,18,14,154.67,94,94,86%,0,0,0,0,0,0,63.2,894,5.9,109,0,0,1.0
Antonio Gibson,Was,RB,A,18,14,153.93,102,102,86%,0,0,0,158,665,4.3,39.3,300,2.0,50.3,0,1.1,1.1
JuJu Smith-Schuster,NE,WR,Q,18,11,153.43,121,121,65%,0,0,0,6.4,32.9,0,80.7,862,4.3,120,0,0,1.1
Skyy Moore,KC,WR,A,18,10,150.60,125,125,63%,0,0,0,10.7,61.0,0,65.7,758,6.0,87.9,0,0,0
Darnell Mooney,Chi,WR,Q,18,13,150.16,137,137,53%,0,0,0,5.8,34.7,0,62.6,898,4.7,108,0,0,1.1
Rashee Rice,KC,WR,A,17,10,150.00,259,259,24%,0,0,0,0,0,0,66.8,817,5.8,93.4,0,0,0
Damien Harris,Buf,RB,A,18,13,149.90,81,81,87%,0,0,0,188,856,7.1,15.7,114,0.8,19.8,0,0,1.1
Jaxon Smith-Njigba,Sea,WR,A,17,5,149.81,97,97,85%,0,0,0,2.0,13.4,0,73.5,828,5.2,103,0,0,1.0
Quentin Johnston,LAC,WR,A,17,5,149.34,135,135,61%,0,0,0,1.0,6.1,0,65.8,860,5.3,99.7,0,0,1.0
Jamaal Williams,NO,RB,A,18,11,149.05,88,88,90%,0,0,0,188,778,6.4,22.4,172,1.1,28.7,0,0,1.1
Dallas Goedert,Phi,TE,A,18,10,148.55,58,58,99%,0,0,0,0,0,0,65.9,761,6.6,91.5,0,0,0
Darren Waller,NYG,TE,A,18,13,148.48,84,84,97%,0,0,0,0,0,0,68.5,816,5.4,102,0,0,0
T.J. Hockenson,Min,TE,A,18,13,148.35,35,35,99%,0,0,0,0,0,0,74.2,780,5.6,106,0,0,0
Jameson Williams,Det,WR,SUSP,12,9,147.43,109,109,68%,0,0,0,5.0,31.7,1.0,52.3,788,5.2,85.9,0,1.0,0
Kyle Pitts,Atl,TE,Q,18,11,147.39,66,66,98%,0,0,0,0,0,0,67.6,808,5.5,102,0,0,0
Jakobi Meyers,LV,WR,A,18,13,146.65,116,116,55%,0,0,0,1.1,7.6,0,76.5,836,4.4,111,0,0,1.1
Zach Charbonnet,Sea,RB,NA,17,5,145.72,132,132,67%,0,0,0,174,783,5.4,25.1,191,0.9,31.5,0,0,1.1
Tyler Boyd,Cin,WR,A,18,7,144.29,134,134,56%,0,0,0,2.2,17.4,0,64.1,800,5.4,91.5,0,0,1.1
Evan Engram,Jax,TE,A,18,9,142.04,80,80,97%,0,0,0,0,0,0,69.6,740,5.5,96.6,0,0,0
Rashod Bateman,Bal,WR,Q,18,13,142.00,99,99,72%,0,0,0,0,0,0,59.8,818,5.4,93.8,0,0,1.1
Zay Flowers,Bal,WR,A,17,13,141.00,138,138,53%,0,0,0,7.1,51.3,1.0,51.9,729,5.2,85.4,0,0,0
Zay Jones,Jax,WR,A,18,9,140.62,136,136,52%,0,0,0,2.3,13.6,0,70.3,789,4.6,101,0,0,1.1
Mecole Hardman Jr.,NYJ,WR,A,18,7,140.46,237,237,14%,0,0,0,16.6,90.8,1.3,55.6,660,3.9,79,1.1,0,0
David Njoku,Cle,TE,A,18,5,140.33,96,96,94%,0,0,0,0,0,0,68.5,739,5.4,96.7,0,0,0
Pat Freiermuth,Pit,TE,Q,18,6,139.69,85,85,95%,0,0,0,0,0,0,67.6,732,5.5,100,0,0,0
Courtland Sutton,Den,WR,A,18,9,138.92,103,103,69%,0,0,0,0,0,0,57.9,814,5.1,97.8,0,0,1.0
Tyler Allgeier,Atl,RB,A,18,11,137.86,107,107,78%,0,0,0,177,769,5.4,19.7,144,1.1,27.5,0,0,1.1
Allen Lazard,NYJ,WR,A,18,7,137.50,128,128,58%,0,0,0,2.0,11.2,0,60.2,756,5.1,91.5,0,0,0
